A,B,result
Parsing,Computer programming,1
Semantics of programming languages,Semidefinite programming,0
Firewall (computing),Information security,1
Visualization (computer graphics),Computer,1
Markov process,Combinatorics,0
Thread (computer science),Scheduling (computing),0
Formal verification,Motion planning,0
Computational learning theory,Data analysis,0
Ray tracing (graphics),Prolog,0
Ray tracing (graphics),Personal computer,1
System call,Computer programming,1
Java (programming language),Eigenvalues and eigenvectors,0
Image processing,Computer science,1
Parallel computing,Recursion (computer science),0
Software engineering,Polymorphism (computer science),0
Distributed computing,Computer programming,1
Reinforcement learning,Data structure,1
Routing,Data (computing),1
Undecidable problem,Computation,1
Hidden Markov model,Programming language,1
Algebra,Message passing,0
Embedded system,Computer programming,1
Data (computing),"Best, worst and average case",0
Amortized analysis,Computer,1
Query optimization,Part-of-speech tagging,0
Speech recognition,Expected value,1
Memory management,Pattern matching,0
Software framework,Data structure,1
Machine translation,Mathematics,1
"Best, worst and average case",Mathematics,1
Analysis of algorithms,Inference,0
Database design,Algorithm design,1
OSI model,Assembly language,0
Formal verification,Object (computer science),0
Inequality (mathematics),Vulnerability (computing),0
Routing,Divide and conquer algorithm,0
Support vector machine,Lazy evaluation,0
Packet switching,Graph (mathematics),1
Security,Foundations of mathematics,0
CPU cache,Communication,0
Arithmetic logic unit,Arithmetic,1
Volume rendering,Web search engine,0
Finite element method,Numerical analysis,1
Economics,Mathematics,1
Dynamic memory allocation,Dynamic programming,0
Question answering,Computer science,1
Recursion,Computing,1
Feature extraction,Foundations of mathematics,1
Database design,Object (computer science),1
Peer-to-peer,Graph (mathematics),1
Denotational semantics,Perl,0
Atomicity (database systems),Object (computer science),1
Cryptanalysis,Problem solving,1
Message passing,Logic,1
Bioinformatics,Problem solving,1
Graph coloring,Discrete mathematics,1
Operating system,Polynomial,0
Parallel algorithm,Haskell (programming language),0
Combinational logic,Automata theory,0
Introduction to Algorithms,Automata theory,0
Integer,Computer security,0
Partial differential equation,Polynomial,1
Round-off error,Algorithm,1
Regular language,Computational geometry,0
Mathematical optimization,Linear system,0
Mechanical engineering,Automated planning and scheduling,0
Numerical analysis,Algorithm,1
Data warehouse,Program analysis,0
Inter-process communication,Computer,1
Data analysis,Denotational semantics,0
Variable (computer science),Generic programming,0
OSI model,Context-free language,0
Formal language,Mathematics,1
Concurrent computing,Computational complexity theory,0
OSI model,Algorithm design,0
Routing,Deadlock,0
Data mining,Computer science,1
Data analysis,String (computer science),0
Formal methods,Approximation algorithm,0
Theoretical computer science,Computation,1
Database,Gradient descent,0
Monte Carlo method,Integer,1
Calculus of variations,Markov process,0
Cryptography,Mathematics,1
Internet Protocol Suite,Communications protocol,1
Database transaction,Variable (computer science),0
Abstract data type,Integral,0
Variable (computer science),Computer programming,1
Cache coherence,String searching algorithm,0
Ray tracing (graphics),Decision theory,0
Mathematical induction,Mutual exclusion,0
Random graph,Visualization (computer graphics),0
Procedural programming,Linear system,0
Linear programming,3D computer graphics,0
Recursion (computer science),Computer programming,1
Virtual reality,Algorithm,1
Machine translation,Volume rendering,0
Problem solving,Economics,0
JavaScript,Logic,1
High-level programming language,Virtual reality,0
Stochastic process,Uncertainty,1
Concurrency control,Database design,0
Cryptography,Logic,1
Web server,Central processing unit,1
Graph (mathematics),Round-off error,0
Time complexity,Computability,1
User interface design,Digital electronics,1
Bioinformatics,Exponential family,0
Memory hierarchy,Theory of computation,0
Structured programming,Computability,1
Parallel algorithm,Mechanical engineering,0
Linear algebra,Data analysis,0
Computer animation,Finite difference,0
Distributed computing,Scalability,0
Software engineering,Foundations of mathematics,1
Concurrency control,GPU,0
Bioinformatics,Iterative method,1
Gradient descent,Mathematics,1
Cryptography,Abstraction (computer science),1
Graphical model,Digital signature,0
Decision theory,Mathematics,1
Multi-core processor,Central processing unit,1
Quantum cryptography,Query language,0
Haskell (programming language),Probability,0
Atomicity (database systems),Application programming interface,0
Sparse matrix,Inference,0
Wavelet,Lazy evaluation,0
Differential equation,Game theory,0
Unix,Uncertainty,0
Web search engine,Foundations of mathematics,1
Bayesian,Autonomous robot,0
Fast Fourier transform,Foundations of mathematics,1
Graphics,Abstraction (computer science),0
Concurrency (computer science),Probability theory,0
Sentiment analysis,Unsupervised learning,1
Relational algebra,Robot,0
Feature extraction,Combinatorics,1
P versus NP problem,Number theory,1
User interface design,Software development,0
Pattern matching,Probability,0
Iterative method,Polynomial,1
Inheritance (object-oriented programming),Programming language,1
Support vector machine,Divide and conquer algorithm,0
Statistics,Quantum mechanics,0
Computational problem,Wireless sensor network,0
Parametric polymorphism,Parallel computing,0
Computation,Undecidable problem,0
Computer vision,Computational science,1
Assembly language,Computer science,1
Computer network,Semantics,0
Linear programming,Array data structure,0
Machine learning,Computer science,1
P versus NP problem,Computer science,1
Message passing,Natural language,0
Random variable,Regular expression,0
Python (programming language),Programming language,1
Computer programming,Algorithm,1
Computer simulation,Logic,1
Graphical user interface,Decision theory,0
Monad (functional programming),Statistical inference,0
Scalability,Software design,1
Computer programming,Monte Carlo method,0
Statistics,Interface (computing),0
Image analysis,Differential equation,0
Nonlinear system,Computer science,0
Computer graphics,Iterative method,1
Graphical model,Syntax,0
Imperative programming,Signal processing,0
Query language,PageRank,0
Peer-to-peer,Very long instruction word,0
Amortized analysis,Stack (data structure),0
Distributed algorithms,Semantics,0
Mathematics,Vulnerability (computing),0
Index (database),Relational algebra,1
Formal grammar,Program analysis,0
Microprocessor,Graph (mathematics),0
Random graph,Model checking,0
Analysis of algorithms,Graph (mathematics),1
Scope (computer science),Newton's method,0
Correlation and dependence,File system,0
Index (database),Data structure,1
Probability theory,Inheritance (object-oriented programming),0
Monte Carlo method,Computer science,1
Complexity class,Computing,1
Sequence alignment,Mathematics,1
Neural network,Discrete mathematics,1
Pushdown automata,Model checking,0
Program analysis,Discrete mathematics,1
Atomicity (database systems),Computer architecture,0
Cache coherence,Computer programming,1
Web search engine,Distributed algorithms,0
Rendering (computer graphics),Array data structure,0
Quantum mechanics,Conditional probability,0
Interactivity,User interface design,0
Analysis of algorithms,Computational problem,1
Concurrent computing,Computer simulation,0
Recurrence relation,Combinatorics,1
Motion planning,Artificial intelligence,1
Formal grammar,Interactivity,0
Programming language,Algorithm,1
Recurrence relation,Malware,0
Algorithm design,Interpolation,0
Inference,Quantum computer,0
Computer security,Computability,0
Polynomial,Model checking,0
Internet,Computer science,1
Distributed computing,Atomicity (database systems),0
Model checking,Abstraction (computer science),1
Robot,Computation,1
Model checking,Theoretical computer science,1
Quantum cryptography,Algorithm,1
Database,Discrete mathematics,1
Message Passing Interface,Firewall (computing),0
Imperative programming,Discrete mathematics,1
Communications protocol,Lexical analysis,0
Distributed computing,Mathematics,1
Semidefinite programming,Array data structure,0
Computer vision,Numerical analysis,1
3D computer graphics,Image processing,1
Robotics,Computing,1
Inheritance (object-oriented programming),Telecommunications network,0
Computer multitasking,Calculus of variations,0
Neural network,Computer programming,1
Sparse matrix,Information security,0
Data mining,Computer programming,1
SQL,Computability,1
Database system,Algorithm design,1
Memory management,Polymorphism (computer science),0
Software development,Mathematics,1
Dynamic memory allocation,Memory management,0
Artificial intelligence,Problem solving,1
Computational chemistry,Computer multitasking,0
Hidden Markov model,Computational science,1
Recursion (computer science),Theoretical computer science,1
Feature extraction,System programming,0
Vector processor,Suffix tree,0
Flow network,Computer animation,0
Randomized algorithm,Theoretical computer science,1
Context-free grammar,Computer science,1
Document classification,Algorithm design,1
Symbol table,Quantum cryptography,0
Query language,Logic,1
Decision theory,Computation,1
Motion planning,Algorithm,0
Signal processing,Cryptographic hash function,0
Parsing,Data structure,1
Quantum computer,Entropy,0
Ordinary differential equation,Model checking,0
Approximation algorithm,Arithmetic,1
Mechanical engineering,Computer network,0
Shortest path problem,Mobile device,0
Natural language processing,Algorithm design,1
Graphical model,Scientific modelling,1
JavaScript,Computer programming,1
Volume rendering,Flow network,0
Mathematical optimization,Graph coloring,0
Sufficient statistic,Inference,0
Scope (computer science),Finite difference,0
Data structure,Foundations of mathematics,1
CPU cache,Analysis of algorithms,0
User interface,Robotics,0
Semantics,Big data,0
Structured programming,Automata theory,1
